[22519 ms] 201311251734059_CreateDatabase.
[17678 ms] 201707311527250_AddMetaData.
[  549 ms] 202009281821169_CommunicationTemplateImageFileForeignKey.
[ 5933 ms] 202009291713442_Rollup_0929.
[  557 ms] 202010030017413_AddIndexOnAttendanceCode_IssueDateTime.
[  741 ms] 202010061746345_AddAttendanceOccurrenceAttendanceTypeValueId.
[  492 ms] 202010061838137_AddCommunicationRecipientAddIndexJob.
[ 1223 ms] 202010061901509_AddWorkflowChangeLogNote.
[  942 ms] 202010071848155_AddCoveringIndexForCommunicationGetQueued.
[  852 ms] 202010081924575_AddIsFirstTimeToAttendance.
[  437 ms] 202010122113208_AddIsDateRequiredToStepType.
[ 1500 ms] 202010131811466_Rollup_1013.
[ 2217 ms] 202010142325229_AddCheckInManagerApp.
[ 1736 ms] 202010272130222_Rollup_1027.
[  570 ms] 202010301403238_AddOfflineAccessClaim.
[  714 ms] 202011051623216_UpdateDocumentType.
[  820 ms] 202011052358368_WorkflowActionFormAllowPersonEntry.
[  760 ms] 202011092037356_AddCacheControlHeaderToPage.
[ 2711 ms] 202011102025121_Rollup_1110.
[  902 ms] 202011121849471_WorkflowActionFormChanges.
[  559 ms] 202011131523168_CommunicationReceipientPersonalDevice.
[  585 ms] 202011171509310_BusAndFarmModels.
[  917 ms] 202011171636199_FeeCoverageAmount.
[  642 ms] 202011171742444_WorkflowActionFormPersonEntryGenderOption.
[  670 ms] 202011172219271_Rollup_1117.
[ 1301 ms] 202011231521580_BusAndFarmPages.
[  420 ms] 202011241949568_CheckinClientInstaller.
[ 1763 ms] 202012011753406_Rollup_1201.
[  654 ms] 202012022334116_spCrm_PersonDuplicateFinder.
[  504 ms] 202012091759168_Rollup_1209.
[  526 ms] 202012092122418_KpiShortCodeEdit.
[ 1711 ms] 202012151955324_Rollup_1215.
[  567 ms] 202012161922246_WebFarmNodeMetric.
[  466 ms] 202012162125482_AddPushpayEventRegistrationSupportModels.
[ 1686 ms] 202012222016408_Rollup_1222.
[ 2238 ms] 202101051713098_Rollup_0105.
[  495 ms] 202101071910194_IdentityVerification_FailedMatchAttemptCount.
[  490 ms] 202101081818095_ConnectionOpportunityTranserProperties.
[  720 ms] 202101141614338_Rollup_0114.
[ 2082 ms] 202101191818311_Rollup_0119.
[ 2809 ms] 202101211627543_CheckinManagerEnhancements.
[ 1181 ms] 202101281222548_FullWorksurfaceEmailEditorMigration.
[  718 ms] 202101281654426_AddFinancialTransactionAlert.
[  576 ms] 202101282021015_TransactionAlertUpdates.
[ 2241 ms] 202101292141445_Rollup_01291.
[  597 ms] 202102011629370_CoverTheFees.
[ 1955 ms] 202102032221004_Rollup_0203.
[  672 ms] 202102082138560_CleanMigrationHistory.
[  881 ms] 202102162206327_Rollup_0216.
[  698 ms] 202102171700486_UpdateFinancialTransactionAlertType.
[  861 ms] 202102242045089_CommunicationResponseAttachment.
WARNING: Caution: Changing any part of an object name could break scripts and stored procedures.
Caution: Changing any part of an object name could break scripts and stored procedures.
Caution: Changing any part of an object name could break scripts and stored procedures.
Caution: Changing any part of an object name could break scripts and stored procedures.
Caution: Changing any part of an object name could break scripts and stored procedures.
Caution: Changing any part of an object name could break scripts and stored procedures.
Caution: Changing any part of an object name could break scripts and stored procedures.
[  792 ms] 202102261829140_UpdateIndexNames.
[  908 ms] 202103012333465_RegistrationSession.
[ 1053 ms] 202103021953495_Rollup_0302.
[  967 ms] 202103041650445_RegistrationSession-PropChanges.
[ 2142 ms] 202103172054126_Rollup_03171.
[ 1065 ms] 202103251309028_AddMediaRelatedTable.
[  654 ms] 202103252333087_Rollup_0325.
[ 3642 ms] 202103261909295_GivingAttributes.
[  869 ms] 202103262119085_Rollup_0326.
